PUNTO;A 2023_0089 1;A 2024_0092 3;A 2024_0098 3;A 2024_0116 3;A 2024_0079 3;A 2024_0105 3;B 2023_0089 23;B 2024_0092 19;B 2024_0098 19;B 2024_0116 19;B 2024_0079 19;B 2024_0105 19;C 2023_0089 25;C 2024_0092 26;C 2024_0098 26;C 2024_0116 26;C 2024_0079 26;C 2024_0105 26;D 2023_0089 26;D 2024_0092 27;D 2024_0098 27;D 2024_0116 27;D 2024_0079 27;D 2024_0105 27;E 2023_0089 43;E 2024_0092 41;E 2024_0098 41;E 2024_0116 41;E 2024_0079 41;E 2024_0105 41;F 2023_0089 50;F 2024_0092 50;F 2024_0098 50;F 2024_0116 50;F 2024_0079 50;F 2024_0105 50;G 2023_0089 64;G 2024_0092 64;G 2024_0098 64;G 2024_0116 64;G 2024_0079 64;G 2024_0105 64;H 2023_0089 43;H 2024_0092 41;H 2024_0098 41;H 2024_0116 41;H 2024_0079 41;H 2024_0105 41;I 2023_0089 45;I 2024_0092 47;I 2024_0098 47;I 2024_0116 47;I 2024_0079 46;I 2024_0105 47;J 2023_0089 46;J 2024_0092 48;J 2024_0098 48;J 2024_0116 48;J 2024_0079 47;J 2024_0105 48;
1;-588.15;-584.27;-585.39;-589.95;-582.44;-588.25;-591.65;-584.22;-585.6;-589.48;-581.8;-588.6;-590.66;-598.39;-597.31;-601.73;-592.22;-598.31;-596.39;-592.61;-591.4;-596.03;-584.68;-591.82;-589.86;-591.79;-591.5;-595.59;-583.78;-590.12;-588.88;-584.96;-588.17;-592.92;-580.83;-589.54;-580.96;-577.24;-581.42;-586.26;-573.16;-582;-589.86;-591.79;-591.5;-595.59;-583.78;-590.12;-586.6;-585.59;-585.3;-586.76;-581.93;-587.83;-587.31;-595.69;-594.15;-599.44;-582.19;-597.61;
2;-587.03;-584.43;-585.97;-590;-582.36;-588.92;-590.52;-583.97;-586.6;-589.1;-582.38;-589.18;-589.35;-598.47;-597.76;-601.48;-592.63;-598.81;-595.35;-593.03;-591.94;-596.03;-584.77;-592.61;-588.74;-592.04;-591.5;-595.59;-583.7;-590.58;-587.96;-584.62;-588.34;-592.8;-580.91;-589.59;-579.92;-576.7;-581.63;-586.26;-573.2;-582;-588.74;-592.04;-591.5;-595.59;-583.7;-590.58;-585.22;-585.34;-586.05;-586.84;-582.64;-588.29;-586.35;-594.85;-594.56;-599.61;-582.4;-597.56;
3;-585.57;-583.27;-586.34;-587.63;-582.4;-588.67;-588.85;-581.63;-586.6;-585.05;-582.55;-588.18;-587.88;-596.85;-597.68;-598.77;-592.47;-598.52;-592.8;-591.69;-591.86;-593.36;-584.51;-591.65;-587.4;-591.92;-591.46;-593.67;-583.82;-590.58;-586.37;-583.58;-588.17;-590.21;-580.45;-588.79;-578.5;-575.62;-581.33;-583.75;-572.65;-581.08;-587.4;-591.92;-591.46;-593.67;-583.82;-590.58;-583.68;-584.39;-586.13;-584.76;-582.85;-587.5;-585.14;-593.73;-594.69;-595.23;-582.27;-597.23;
4;-570.42;-575.84;-582.57;-574.64;-582.23;-583.11;-572.08;-571.95;-577.29;-571.99;-578.42;-577;-576.06;-591.05;-594.51;-586.67;-588.25;-593.76;-577.99;-584.47;-587.77;-580.22;-581.43;-582.14;-572.08;-588.79;-590.87;-584.24;-582.86;-586.33;-572.69;-580.87;-584.79;-578.66;-579.03;-584.29;-565.06;-572.65;-576.87;-571.19;-570.86;-576.87;-572.08;-588.79;-590.87;-584.24;-582.86;-586.33;-568.19;-580.16;-581.28;-573.35;-576.51;-581.28;-573.46;-586.89;-591.02;-578.34;-580.57;-588.64;
5;-560.78;-569.2;-574.06;-566.46;-579.91;-574.93;-563.02;-565.31;-567.32;-564.48;-568.19;-567.32;-566.47;-586.17;-588.71;-578.62;-578.41;-587.04;-569.98;-577.55;-580.59;-572.12;-573.83;-572.95;-562.19;-583.99;-588.12;-576.14;-579.11;-578.9;-563.34;-578.61;-579.11;-571.06;-575.44;-579.24;-555.26;-570.32;-570.99;-563.56;-567.02;-571.99;-562.19;-583.99;-588.12;-576.14;-579.11;-578.9;-559.01;-576.42;-572.97;-564.71;-565.53;-574.18;-564.07;-582.18;-583.93;-571.96;-574.68;-581.47;
6;-554.1;-562.39;-563.76;-559.73;-576.21;-564.84;-557.43;-559.64;-558.63;-558.51;-561.97;-558.84;-559.06;-580.41;-580.45;-571.52;-571.73;-578.2;-564.22;-570.49;-571.08;-565.53;-568.11;-563.9;-555.43;-577.27;-580.94;-568.25;-575.06;-568.21;-555.59;-575.49;-572.02;-563.97;-572.4;-572.44;-547.7;-567.06;-563.56;-556.84;-563.89;-565.35;-555.43;-577.27;-580.94;-568.25;-575.06;-568.21;-552.79;-571.65;-563.76;-556.29;-559.74;-565.54;-555.44;-576.46;-576.46;-567.58;-569.82;-573.25;
7;-552.22;-559.15;-558.9;-557.57;-569.66;-559.4;-555.63;-557.09;-555.42;-556.88;-555.84;-555.25;-556.33;-577.2;-575.65;-569.19;-565.68;-573.23;-562.05;-566.82;-566.32;-563.36;-561.23;-560.1;-553.43;-573.3;-575.31;-565.17;-568.38;-562.75;-552.71;-573.4;-567.43;-561.43;-568.1;-568.43;-544.82;-564.98;-559.51;-554.46;-559.8;-561.26;-553.43;-573.3;-575.31;-565.17;-568.38;-562.75;-551.08;-568.95;-559.11;-552.96;-554.81;-561.02;-551.98;-573.21;-571.67;-566.37;-563.47;-569.25;
8;-550.47;-556.5;-555.37;-556.41;-565.84;-554.75;-554.09;-555.17;-553.29;-555.63;-553.29;-552.62;-554.22;-573.53;-570.94;-567.64;-563.1;-568.23;-559.84;-563.52;-562.27;-562.14;-557.64;-557.22;-551.47;-568.88;-569.46;-563;-564.21;-557.74;-550.12;-570.85;-563.09;-559.51;-565.43;-563.76;-542.32;-562.47;-555.55;-552.63;-557.3;-556.59;-551.47;-568.88;-569.46;-563;-564.21;-557.74;-549.16;-565.75;-555.83;-550.22;-552.93;-556.41;-548.76;-569.41;-567.16;-565.62;-560.06;-565.16;
9;-549.92;-555.58;-554.21;-556;-560.9;-552.55;-553.71;-554.63;-553;-555.5;-551.08;-551.33;-554.1;-572.27;-568.69;-567.23;-560.97;-565.6;-560.38;-562.35;-560.56;-561.77;-553.51;-556.18;-550.51;-567.04;-566.17;-562.45;-558.82;-555.78;-549.16;-569.1;-560.72;-558.96;-561.76;-560.84;-541.03;-560.64;-553.29;-552.04;-553.84;-553.38;-550.51;-567.04;-566.17;-562.45;-558.82;-555.78;-549.08;-564.05;-554.46;-548.94;-551.27;-553.84;-547.34;-568.91;-564.91;-564.62;-556.04;-563.66;
10;-553.6;-555.46;-554.21;-556.99;-558.24;-550.52;-558.18;-554.75;-554.92;-557.67;-550.58;-551.12;-557.8;-571.27;-567.23;-568.64;-560.76;-563.39;-565.68;-562.56;-560.02;-563.06;-551.79;-556.59;-553.59;-566.08;-563.46;-563.66;-555.94;-554.9;-551.91;-566.85;-558.76;-559.97;-559.51;-557.09;-543.36;-558.34;-551.63;-552.54;-551.75;-549.33;-553.59;-566.08;-563.46;-563.66;-555.94;-554.9;-553.88;-562.01;-554.54;-548.69;-550.93;-551.51;-549.22;-567.71;-564.08;-565.2;-554.04;-561.87;
11;-556.77;-555.54;-554.96;-558.49;-555.62;-550.06;-561.89;-555;-556.09;-559.22;-550.96;-551.62;-560.87;-570.86;-567.14;-570.23;-561.72;-562.6;-568.19;-562.98;-560.31;-564.73;-550.5;-557.6;-557.02;-565.79;-562.5;-565.29;-552.98;-555.23;-554.71;-565.26;-558.05;-561.3;-556.42;-554.75;-546.41;-556.67;-550.92;-553.92;-548.83;-546.78;-557.02;-565.79;-562.5;-565.29;-552.98;-555.23;-557.38;-560.81;-555.29;-549.39;-551.35;-550.64;-551.77;-567.33;-563.41;-567.87;-552.3;-561.32;
12;-559.48;-555.67;-555.91;-561.31;-554.46;-550.43;-564.02;-555;-556.92;-561.85;-551.29;-553.04;-562.98;-569.85;-567.35;-572.65;-562.26;-562.34;-569.06;-563.27;-560.81;-567.7;-549.83;-559.43;-559.98;-565.46;-561.91;-567.63;-551.52;-556.32;-557.25;-562.76;-557.3;-563.97;-554.46;-551.91;-549.04;-554.25;-550.12;-557.01;-546.95;-543.74;-559.98;-565.46;-561.91;-567.63;-551.52;-556.32;-559.68;-559.15;-555.95;-550.76;-551.85;-550.56;-554.06;-566.2;-563.95;-572.21;-551.51;-562.66;
13;-560.27;-556.21;-556.5;-562.81;-553.55;-550.97;-564.61;-555.59;-557.34;-562.93;-552.17;-553.71;-563.48;-569.15;-567.27;-573.82;-562.93;-562.34;-569.19;-563.15;-561.02;-568.99;-549.08;-560.48;-560.86;-565.17;-561.62;-568.84;-550.1;-557.36;-558.26;-560.84;-556.63;-565.26;-551.41;-550.16;-550.12;-552.08;-549.62;-558.47;-544.36;-542.07;-560.86;-565.17;-561.62;-568.84;-550.1;-557.36;-560.14;-558.11;-556.41;-551.22;-553.81;-550.68;-554.98;-566.12;-564.12;-573.13;-550.81;-563.78;
14;-560.23;-557.04;-557.74;-563.43;-553.34;-551.56;-564.15;-556.38;-558.05;-563.1;-552.75;-554.21;-563.61;-567.77;-567.48;-574.36;-563.14;-562.51;-568.98;-562.77;-561.48;-569.53;-548.41;-561.44;-561.06;-564.67;-561.7;-569.46;-549.14;-558.41;-558.51;-557.92;-556.21;-565.89;-549.24;-548.41;-550.46;-549;-549.37;-558.97;-542.2;-540.11;-561.06;-564.67;-561.7;-569.46;-549.14;-558.41;-560.06;-556.66;-557.24;-550.47;-554.69;-550.68;-555.35;-565.08;-564.91;-573.46;-550.39;-564.37;
15;-559.86;-557.24;-558.45;-563.22;-553.22;-551.8;-563.4;-556.17;-558.34;-562.81;-552.96;-554.46;-563.14;-566.6;-567.52;-574.07;-563.14;-562.47;-568.56;-561.94;-561.73;-569.28;-546.99;-561.69;-560.52;-563.96;-561.83;-569.46;-547.8;-558.99;-558.21;-555.63;-555.88;-565.81;-545.91;-547.41;-550.16;-546.66;-548.95;-558.76;-539.19;-539.02;-560.52;-563.96;-561.83;-569.46;-547.8;-558.99;-559.47;-555.25;-557.61;-549.23;-554.94;-550.56;-555.19;-564.58;-565.12;-573.08;-549.73;-564.54;
16;-559.02;-556.95;-558.86;-562.56;-553.05;-551.8;-562.48;-555.67;-558.3;-562.22;-552.62;-553.96;-562.39;-564.51;-567.56;-573.48;-562.6;-562.3;-567.6;-560.35;-561.69;-568.61;-545.58;-561.48;-559.81;-562.54;-561.99;-568.88;-546.68;-559.2;-557.63;-552.41;-555.33;-565.31;-543.61;-546.2;-549.71;-543.28;-548.58;-558.18;-537.1;-537.61;-559.81;-562.54;-561.99;-568.88;-546.68;-559.2;-558.39;-553.46;-557.82;-547.32;-554.48;-550.14;-554.85;-562.83;-564.74;-572.75;-548.98;-564.24;
17;-557.98;-556.45;-559.03;-562.1;-552.51;-551.68;-561.52;-555.05;-557.84;-561.76;-551.04;-553.42;-560.87;-563.05;-567.43;-573.03;-561.01;-561.97;-565.72;-559.14;-561.48;-568.11;-542.95;-560.93;-558.85;-561.54;-561.91;-568.38;-544.76;-558.99;-556.75;-550.2;-554.83;-564.93;-540.11;-545.2;-548.95;-540.94;-548.08;-557.8;-534.18;-536.73;-558.85;-561.54;-561.91;-568.38;-544.76;-558.99;-556.97;-552.3;-557.57;-545.7;-553.19;-549.6;-553.85;-561.53;-564.08;-572.42;-547.61;-564.37;
18;-556.02;-555.96;-558.28;-561.31;-552.05;-551.26;-559.76;-554.54;-555.96;-560.76;-550.33;-552.75;-559.06;-561.59;-566.81;-572.19;-559.97;-561.26;-563.85;-557.76;-560.73;-567.28;-541.4;-560.22;-557.06;-560.12;-561.45;-567.55;-543.34;-558.45;-554.88;-547.16;-554;-564.26;-538.15;-544.11;-547.29;-537.86;-547.29;-556.97;-532.18;-535.6;-557.06;-560.12;-561.45;-567.55;-543.34;-558.45;-555.09;-550.64;-556.7;-543.37;-552.43;-548.69;-551.81;-560.16;-564.16;-571.54;-546.57;-563.7;
19;-555.02;-555.5;-557.45;-560.48;-551.22;-551.06;-558.55;-554.13;-555.09;-559.68;-549.08;-552.29;-558.1;-560.47;-566.22;-571.31;-558.63;-560.8;-563.18;-556.84;-559.93;-566.32;-539.02;-559.81;-556.14;-559.37;-560.87;-566.63;-540.96;-558.07;-553.92;-544.95;-553.29;-563.47;-535.23;-543.49;-546.2;-535.64;-546.53;-556.42;-530.01;-534.73;-556.14;-559.37;-560.87;-566.63;-540.96;-558.07;-554.17;-549.73;-555.99;-541.42;-551.18;-548.15;-550.64;-558.7;-563.41;-570.33;-545.24;-563.87;
20;-554.81;-555.33;-556.66;-559.28;-550.68;-550.48;-558.6;-554.34;-554.21;-558.63;-548.58;-552.21;-558.26;-559.88;-565.6;-570.02;-558.01;-560.34;-564.18;-556.47;-559.01;-565.19;-537.69;-559.68;-555.72;-558.91;-560.16;-565.5;-539.54;-557.7;-553.54;-542.32;-552.33;-562.59;-533.43;-542.9;-545.66;-532.81;-545.62;-555.34;-528.34;-533.77;-555.72;-558.91;-560.16;-565.5;-539.54;-557.7;-554.21;-548.69;-555.16;-538.85;-550.56;-547.61;-549.93;-558.66;-562.24;-569.67;-544.45;-562.66;
21;-555.56;-555.33;-556.21;-558.7;-549.85;-550.43;-559.81;-554.54;-554.29;-558.22;-548.83;-552.5;-559.86;-559.72;-565.18;-569.48;-558.21;-560.18;-566.43;-556.64;-558.35;-564.65;-536.56;-560.06;-556.39;-559.03;-559.62;-564.79;-537.87;-557.78;-554.12;-540.65;-551.62;-561.97;-531.3;-542.82;-545.99;-531.1;-545.03;-554.75;-526.63;-533.27;-556.39;-559.03;-559.62;-564.79;-537.87;-557.78;-555.76;-548.15;-554.75;-537.19;-550.26;-547.57;-550.72;-558.53;-562.58;-569.41;-543.83;-563.08;
22;-556.64;-555.25;-556.04;-558.49;-549.65;-550.52;-560.64;-554.54;-555.17;-558.84;-548.91;-553.08;-561.17;-559.51;-565.18;-569.48;-558.42;-560.3;-567.73;-556.97;-558.1;-564.69;-535.89;-560.52;-557.23;-559.24;-559.24;-565.08;-536.91;-558.07;-554.75;-538.56;-551.25;-561.93;-530.05;-542.9;-546.53;-528.88;-544.45;-554.25;-525.75;-532.85;-557.23;-559.24;-559.24;-565.08;-536.91;-558.07;-556.97;-547.53;-554.92;-535.07;-550.1;-547.57;-551.43;-557.99;-562.66;-569.16;-543.79;-562.95;
23;-556.94;-555;-556.25;-558.82;-549.23;-550.31;-560.97;-554.38;-555.34;-559.59;-548.79;-553.13;-561.71;-559.17;-565.22;-570.1;-558.63;-560.38;-568.02;-557.05;-558.14;-565.11;-534.6;-560.68;-557.43;-559.2;-558.91;-565.83;-535.62;-558.28;-554.83;-537.23;-550.95;-562.34;-528.55;-542.99;-546.78;-527.17;-544.11;-554.21;-524.5;-532.51;-557.43;-559.2;-558.91;-565.83;-535.62;-558.28;-557.3;-547.11;-554.92;-533.95;-549.81;-547.53;-551.6;-557.9;-562.28;-569.12;-543.67;-563.45;
