PUNTO;A 2023_0089 1;A 2024_0092 3;A 2024_0098 3;A 2024_0116 3;A 2024_0079 3;A 2024_0105 3;B 2023_0089 23;B 2024_0092 19;B 2024_0098 19;B 2024_0116 19;B 2024_0079 19;B 2024_0105 19;C 2023_0089 25;C 2024_0092 26;C 2024_0098 26;C 2024_0116 26;C 2024_0079 26;C 2024_0105 26;D 2023_0089 26;D 2024_0092 27;D 2024_0098 27;D 2024_0116 27;D 2024_0079 27;D 2024_0105 27;E 2023_0089 43;E 2024_0092 41;E 2024_0098 41;E 2024_0116 41;E 2024_0079 41;E 2024_0105 41;F 2023_0089 50;F 2024_0092 50;F 2024_0098 50;F 2024_0116 50;F 2024_0079 50;F 2024_0105 50;G 2023_0089 64;G 2024_0092 64;G 2024_0098 64;G 2024_0116 64;G 2024_0079 64;G 2024_0105 64;H 2023_0089 43;H 2024_0092 41;H 2024_0098 41;H 2024_0116 41;H 2024_0079 41;H 2024_0105 41;I 2023_0089 45;I 2024_0092 47;I 2024_0098 47;I 2024_0116 47;I 2024_0079 46;I 2024_0105 47;J 2023_0089 46;J 2024_0092 48;J 2024_0098 48;J 2024_0116 48;J 2024_0079 47;J 2024_0105 48;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;2.24;-0.32;-1.16;-0.1;0.16;-1.34;2.26;0.5;-2;0.76;-1.16;-1.16;2.62;-0.16;-0.9;0.5;-0.82;-1;2.08;-0.84;-1.08;0;-0.18;-1.58;2.24;-0.5;0;0;0.16;-0.92;1.84;0.68;-0.34;0.24;-0.16;-0.1;2.08;1.08;-0.42;0;-0.08;0;2.24;-0.5;0;0;0.16;-0.92;2.76;0.5;-1.5;-0.16;-1.42;-0.92;1.92;1.68;-0.82;-0.34;-0.42;0.1;
3;2.92;2.32;-0.74;4.74;-0.08;0.5;3.34;4.68;0;8.1;-0.34;2;2.94;3.24;0.16;5.42;0.32;0.58;5.1;2.68;0.16;5.34;0.52;1.92;2.68;0.24;0.08;3.84;-0.24;0;3.18;2.08;0.34;5.18;0.92;1.6;2.84;2.16;0.6;5.02;1.1;1.84;2.68;0.24;0.08;3.84;-0.24;0;3.08;1.9;-0.16;4.16;-0.42;1.58;2.42;2.24;-0.26;8.76;0.26;0.66;
4;30.3;14.86;7.54;25.98;0.34;11.12;33.54;19.36;18.62;26.12;8.26;22.36;23.64;11.6;6.34;24.2;8.44;9.52;29.62;14.44;8.18;26.28;6.16;19.02;30.64;6.26;1.18;18.86;1.92;8.5;27.36;5.42;6.76;23.1;2.84;9;26.88;5.94;8.92;25.12;3.58;8.42;30.64;6.26;1.18;18.86;1.92;8.5;30.98;8.46;9.7;22.82;12.68;12.44;23.36;13.68;7.34;33.78;3.4;17.18;
5;19.28;13.28;17.02;16.36;4.64;16.36;18.12;13.28;19.94;15.02;20.46;19.36;19.18;9.76;11.6;16.1;19.68;13.44;16.02;13.84;14.36;16.2;15.2;18.38;19.78;9.6;5.5;16.2;7.5;14.86;18.7;4.52;11.36;15.2;7.18;10.1;19.6;4.66;11.76;15.26;7.68;9.76;19.78;9.6;5.5;16.2;7.5;14.86;18.36;7.48;16.62;17.28;21.96;14.2;18.78;9.42;14.18;12.76;11.78;14.34;
6;13.36;13.62;20.6;13.46;7.4;20.18;11.18;11.34;17.38;11.94;12.44;16.96;14.82;11.52;16.52;14.2;13.36;17.68;11.52;14.12;19.02;13.18;11.44;18.1;13.52;13.44;14.36;15.78;8.1;21.38;15.5;6.24;14.18;14.18;6.08;13.6;15.12;6.52;14.86;13.44;6.26;13.28;13.52;13.44;14.36;15.78;8.1;21.38;12.44;9.54;18.42;16.84;11.58;17.28;17.26;11.44;14.94;8.76;9.72;16.44;
7;3.76;6.48;9.72;4.32;13.1;10.88;3.6;5.1;6.42;3.26;12.26;7.18;5.46;6.42;9.6;4.66;12.1;9.94;4.34;7.34;9.52;4.34;13.76;7.6;4;7.94;11.26;6.16;13.36;10.92;5.76;4.18;9.18;5.08;8.6;8.02;5.76;4.16;8.1;4.76;8.18;8.18;4;7.94;11.26;6.16;13.36;10.92;3.42;5.4;9.3;6.66;9.86;9.04;6.92;6.5;9.58;2.42;12.7;8;
8;3.5;5.3;7.06;2.32;7.64;9.3;3.08;3.84;4.26;2.5;5.1;5.26;4.22;7.34;9.42;3.1;5.16;10;4.42;6.6;8.1;2.44;7.18;5.76;3.92;8.84;11.7;4.34;8.34;10.02;5.18;5.1;8.68;3.84;5.34;9.34;5;5.02;7.92;3.66;5;9.34;3.92;8.84;11.7;4.34;8.34;10.02;3.84;6.4;6.56;5.48;3.76;9.22;6.44;7.6;9.02;1.5;6.82;8.18;
9;1.1;1.84;2.32;0.82;9.88;4.4;0.76;1.08;0.58;0.26;4.42;2.58;0.24;2.52;4.5;0.82;4.26;5.26;-1.08;2.34;3.42;0.74;8.26;2.08;1.92;3.68;6.58;1.1;10.78;3.92;1.92;3.5;4.74;1.1;7.34;5.84;2.58;3.66;4.52;1.18;6.92;6.42;1.92;3.68;6.58;1.1;10.78;3.92;0.16;3.4;2.74;2.56;3.32;5.14;2.84;1;4.5;2;8.04;3;
10;-7.36;0.24;0;-1.98;5.32;4.06;-8.94;-0.24;-3.84;-4.34;1;0.42;-7.4;2;2.92;-2.82;0.42;4.42;-10.6;-0.42;1.08;-2.58;3.44;-0.82;-6.16;1.92;5.42;-2.42;5.76;1.76;-5.5;4.5;3.92;-2.02;4.5;7.5;-4.66;4.6;3.32;-1;4.18;8.1;-6.16;1.92;5.42;-2.42;5.76;1.76;-9.6;4.08;-0.16;0.5;0.68;4.66;-3.76;2.4;1.66;-1.16;4;3.58;
11;-6.34;-0.16;-1.5;-3;5.24;0.92;-7.42;-0.5;-2.34;-3.1;-0.76;-1;-6.14;0.82;0.18;-3.18;-1.92;1.58;-5.02;-0.84;-0.58;-3.34;2.58;-2.02;-6.86;0.58;1.92;-3.26;5.92;-0.66;-5.6;3.18;1.42;-2.66;6.18;4.68;-6.1;3.34;1.42;-2.76;5.84;5.1;-6.86;0.58;1.92;-3.26;5.92;-0.66;-7;2.4;-1.5;-1.4;-0.84;1.74;-5.1;0.76;1.34;-5.34;3.48;1.1;
12;-5.42;-0.26;-1.9;-5.64;2.32;-0.74;-4.26;0;-1.66;-5.26;-0.66;-2.84;-4.22;2.02;-0.42;-4.84;-1.08;0.52;-1.74;-0.58;-1;-5.94;1.34;-3.66;-5.92;0.66;1.18;-4.68;2.92;-2.18;-5.08;5;1.5;-5.34;3.92;5.68;-5.26;4.84;1.6;-6.18;3.76;6.08;-5.92;0.66;1.18;-4.68;2.92;-2.18;-4.6;3.32;-1.32;-2.74;-1;0.16;-4.58;2.26;-1.08;-8.68;1.58;-2.68;
13;-1.58;-1.08;-1.18;-3;1.82;-1.08;-1.18;-1.18;-0.84;-2.16;-1.76;-1.34;-1;1.4;0.16;-2.34;-1.34;0;-0.26;0.24;-0.42;-2.58;1.5;-2.1;-1.76;0.58;0.58;-2.42;2.84;-2.08;-2.02;3.84;1.34;-2.58;6.1;3.5;-2.16;4.34;1;-2.92;5.18;3.34;-1.76;0.58;0.58;-2.42;2.84;-2.08;-0.92;2.08;-0.92;-0.92;-3.92;-0.24;-1.84;0.16;-0.34;-1.84;1.4;-2.24;
14;0.08;-1.66;-2.48;-1.24;0.42;-1.18;0.92;-1.58;-1.42;-0.34;-1.16;-1;-0.26;2.76;-0.42;-1.08;-0.42;-0.34;0.42;0.76;-0.92;-1.08;1.34;-1.92;-0.4;1;-0.16;-1.24;1.92;-2.1;-0.5;5.84;0.84;-1.26;4.34;3.5;-0.68;6.16;0.5;-1;4.32;3.92;-0.4;1;-0.16;-1.24;1.92;-2.1;0.16;2.9;-1.66;1.5;-1.76;0;-0.74;2.08;-1.58;-0.66;0.84;-1.18;
15;0.74;-0.4;-1.42;0.42;0.24;-0.48;1.5;0.42;-0.58;0.58;-0.42;-0.5;0.94;2.34;-0.08;0.58;0;0.08;0.84;1.66;-0.5;0.5;2.84;-0.5;1.08;1.42;-0.26;0;2.68;-1.16;0.6;4.58;0.66;0.16;6.66;2;0.6;4.68;0.84;0.42;6.02;2.18;1.08;1.42;-0.26;0;2.68;-1.16;1.18;2.82;-0.74;2.48;-0.5;0.24;0.32;1;-0.42;0.76;1.32;-0.34;
16;1.68;0.58;-0.82;1.32;0.34;0;1.84;1;0.08;1.18;0.68;1;1.5;4.18;-0.08;1.18;1.08;0.34;1.92;3.18;0.08;1.34;2.82;0.42;1.42;2.84;-0.32;1.16;2.24;-0.42;1.16;6.44;1.1;1;4.6;2.42;0.9;6.76;0.74;1.16;4.18;2.82;1.42;2.84;-0.32;1.16;2.24;-0.42;2.16;3.58;-0.42;3.82;0.92;0.84;0.68;3.5;0.76;0.66;1.5;0.6;
17;2.08;1;-0.34;0.92;1.08;0.24;1.92;1.24;0.92;0.92;3.16;1.08;3.04;2.92;0.26;0.9;3.18;0.66;3.76;2.42;0.42;1;5.26;1.1;1.92;2;0.16;1;3.84;0.42;1.76;4.42;1;0.76;7;2;1.52;4.68;1;0.76;5.84;1.76;1.92;2;0.16;1;3.84;0.42;2.84;2.32;0.5;3.24;2.58;1.08;2;2.6;1.32;0.66;2.74;-0.26;
18;3.92;0.98;1.5;1.58;0.92;0.84;3.52;1.02;3.76;2;1.42;1.34;3.62;2.92;1.24;1.68;2.08;1.42;3.74;2.76;1.5;1.66;3.1;1.42;3.58;2.84;0.92;1.66;2.84;1.08;3.74;6.08;1.66;1.34;3.92;2.18;3.32;6.16;1.58;1.66;4;2.26;3.58;2.84;0.92;1.66;2.84;1.08;3.76;3.32;1.74;4.66;1.52;1.82;4.08;2.74;-0.16;1.76;2.08;1.34;
19;2;0.92;1.66;1.66;1.66;0.4;2.42;0.82;1.74;2.16;2.5;0.92;1.92;2.24;1.18;1.76;2.68;0.92;1.34;1.84;1.6;1.92;4.76;0.82;1.84;1.5;1.16;1.84;4.76;0.76;1.92;4.42;1.42;1.58;5.84;1.24;2.18;4.44;1.52;1.1;4.34;1.74;1.84;1.5;1.16;1.84;4.76;0.76;1.84;1.82;1.42;3.9;2.5;1.08;2.34;2.92;1.5;2.42;2.66;-0.34;
20;0.42;0.34;1.58;2.4;1.08;1.16;-0.1;-0.42;1.76;2.1;1;0.16;-0.32;1.18;1.24;2.58;1.24;0.92;-2;0.74;1.84;2.26;2.66;0.26;0.84;0.92;1.42;2.26;2.84;0.74;0.76;5.26;1.92;1.76;3.6;1.18;1.08;5.66;1.82;2.16;3.34;1.92;0.84;0.92;1.42;2.26;2.84;0.74;-0.08;2.08;1.66;5.14;1.24;1.08;1.42;0.08;2.34;1.32;1.58;2.42;
