day_time_index,Vacio_01,score_Vacio_01,Vacio_03,score_Vacio_03,Vacio_05,score_Vacio_05,Vacio_07,score_Vacio_07,Vacio_11,score_Vacio_11,Vacio_13,score_Vacio_13,Vacio_19,score_Vacio_19,Vacio_23,score_Vacio_23,Vacio_25,score_Vacio_25,Vacio_26,score_Vacio_26,Vacio_27,score_Vacio_27,Vacio_28,score_Vacio_28,Vacio_32,score_Vacio_32,Vacio_33,score_Vacio_33,Vacio_34,score_Vacio_34,Vacio_35,score_Vacio_35,Vacio_36,score_Vacio_36,Vacio_37,score_Vacio_37,Vacio_38,score_Vacio_38,Vacio_39,score_Vacio_39,Vacio_41,score_Vacio_41,Vacio_42,score_Vacio_42,Vacio_43,score_Vacio_43,Vacio_45,score_Vacio_45,Vacio_47,score_Vacio_47,Vacio_48,score_Vacio_48,Vacio_49,score_Vacio_49,Vacio_50,score_Vacio_50,Vacio_51,score_Vacio_51,Vacio_52,score_Vacio_52,Vacio_54,score_Vacio_54,Vacio_56,score_Vacio_56,Vacio_57,score_Vacio_57,Vacio_58,score_Vacio_58,Vacio_59,score_Vacio_59,Vacio_60,score_Vacio_60,Vacio_61,score_Vacio_61,Vacio_62,score_Vacio_62,Vacio_63,score_Vacio_63,Vacio_64,score_Vacio_64
1,-592.7,0.22759139526873537,-588.25,0.27055034909977155,-584.46,0.24142309985637017,-589.32,0.23661424094816538,-595.34,0.20721458561094633,-588.37,0.21363931169171027,-588.6,0.27760707287001285,-595.74,0.21311872670529597,-594.19,0.2404508556654152,-598.31,0.26928604077909535,-591.82,0.2636682481914647,-600.36,0.23963726688168058,-591.58,0.23422412665336131,-589.92,0.1764843258092992,-593.3,0.21594608538465582,-593.68,0.2344183051186408,-594.85,0.2252636032314879,-591.46,0.20652675267038761,-591.49,0.22147403322141357,-607.3,0.21925053587349297,-590.12,0.22787349826383266,-592.7,0.22316208978579286,-594.79,0.1995630430859282,-591.65,0.21356996539452278,-587.83,0.23804380808422393,-597.61,0.2739738277678718,-594.9,0.18115253166675174,-589.54,0.26278644383667416,-603.47,0.2455470901937522,-592.12,0.2141850471895283,-597.78,0.22113498534667553,-590.7,0.218224390980586,-593.88,0.22350689575767302,-593.37,0.23803756647494895,-594.28,0.2295148590962071,-592.12,0.21994932146717067,-591.94,0.24986012598172375,-592.55,0.22089330573579305,-582.39,0.2641084217461883,-582.0,0.2945243953500172
2,-592.49,0.22740509587002494,-588.92,0.2700427738454833,-584.37,0.24120659902879524,-592.41,0.23731081414530372,-598.47,0.20661728150633538,-588.16,0.2130646374359058,-589.18,0.2773699647595216,-598.87,0.21281625016667988,-593.98,0.24022695418420437,-598.81,0.2688135521850366,-592.61,0.26333709185201526,-603.36,0.23922599674540074,-594.72,0.23389508334011544,-589.67,0.17603532720604484,-593.05,0.2130058782251362,-596.72,0.234063616115495,-598.02,0.224767420619379,-591.13,0.20652328592610547,-591.2,0.22100721801390777,-610.35,0.21891101002063063,-590.58,0.22742569082211447,-592.49,0.22253117714821147,-597.92,0.18084613534108387,-591.36,0.2131601442474289,-588.29,0.23794640448003598,-597.56,0.2737516488136603,-594.7,0.1807407354206561,-589.59,0.262384188324829,-606.72,0.2452304945088546,-595.17,0.21388746399002728,-597.57,0.2206869826222137,-593.87,0.21992964678386454,-593.71,0.22321253150068698,-593.21,0.23758352652985482,-597.41,0.2289082211295262,-595.33,0.2196693977363659,-592.23,0.2492547683978298,-592.34,0.22075104384695837,-585.56,0.24817551188372214,-582.0,0.29408682332552016
3,-576.84,0.22691738231053166,-588.67,0.26936997912167226,-568.69,0.24070914693608356,-585.1,0.23693108167672833,-591.0,0.20569026399260143,-572.27,0.21205113048221294,-588.18,0.277019227067503,-591.69,0.21231462990939046,-578.54,0.23972810013196905,-598.52,0.2682028775011912,-591.65,0.26289297867277966,-595.98,0.23855183236920402,-587.43,0.2333091043842422,-574.35,0.175260784551595,-577.62,0.21108299553267967,-589.34,0.2290307621268315,-590.47,0.22394968650646188,-575.35,0.2084290334269932,-575.43,0.22002773786253388,-602.92,0.21677362879762946,-590.58,0.2368732867489523,-576.72,0.22144683054673858,-590.53,0.18014350625057102,-575.66,0.21641936897018849,-587.5,0.23503673978859535,-597.23,0.27344295703362936,-579.13,0.1768722539671245,-588.79,0.259143038767365,-599.29,0.24467373741189552,-587.7,0.21353301712926032,-582.43,0.21989796641234569,-586.82,0.21747176647666472,-578.27,0.21281201439875608,-578.06,0.2251947127836998,-590.44,0.22789078525029094,-588.36,0.21914755066882757,-591.69,0.23627822022508904,-577.15,0.22042521263676818,-578.5,0.24716284000170213,-581.08,0.29351164896904564
4,-560.78,0.22749509162543902,-583.11,0.2683783565073504,-552.63,0.23735451528179946,-560.06,0.23610293383619832,-565.88,0.20405930530996574,-556.46,0.21065456368341198,-577.0,0.27635196265855033,-566.15,0.2107296956013054,-562.18,0.24137645658048912,-593.76,0.26735630228823865,-582.14,0.2621825711893864,-570.96,0.23383045271016956,-561.93,0.22103996863805134,-557.85,0.1710701793323457,-561.18,0.2052187060578683,-564.3,0.22628090426210395,-565.2,0.21735645181124272,-559.33,0.2048740774291467,-559.49,0.2095503174806994,-577.63,0.20446639328112046,-586.33,0.23489847414574663,-560.66,0.21791577143644117,-565.2,0.17481391600728957,-559.68,0.21223413777838734,-581.28,0.23037708791820438,-588.64,0.2760410259777238,-563.1,0.17456825538682286,-584.29,0.24696812511598185,-573.67,0.24034734151396964,-562.51,0.2036671973173018,-565.87,0.21781458005998944,-561.3,0.21417591146344628,-561.91,0.21279331733803647,-561.46,0.22429200654520498,-564.69,0.2330985125798287,-562.79,0.20991468506748057,-586.6,0.22833203486420425,-560.55,0.21789192586285075,-552.96,0.2398690696925789,-576.87,0.2926739821356483
5,-558.73,0.2245671313574002,-574.93,0.2669674314735302,-550.5,0.2347118185359158,-555.47,0.2352287280595755,-561.29,0.20456415327279556,-554.45,0.21096353787942995,-567.32,0.2754225984841263,-561.85,0.2185522142003563,-560.11,0.2404505127043713,-587.04,0.2661961611512961,-572.95,0.26124998416244516,-566.33,0.23460386431361654,-557.57,0.22363206717533546,-555.97,0.1696711023199332,-559.22,0.20865726780131247,-559.79,0.22040810934899313,-560.99,0.2048825292104846,-557.28,0.2039762505902019,-557.49,0.21931330429991683,-573.29,0.2036383441721195,-578.9,0.2338431505062754,-558.66,0.21512672022843016,-560.9,0.173661402981635,-557.68,0.22140656429099273,-574.18,0.2299370070189308,-581.47,0.27751487724600693,-561.02,0.17375555007202356,-579.24,0.24654874461803203,-569.5,0.23954194508477894,-558.34,0.2044309726727867,-563.91,0.21151476690865817,-556.88,0.21304379654489775,-559.95,0.2119958288636669,-559.54,0.22305473914608942,-560.35,0.2330146584251683,-558.49,0.21318253221005223,-579.96,0.2273631195719183,-558.59,0.20045779747454365,-548.58,0.2392111128292136,-571.99,0.30390391423602575
6,-558.9,0.22364735028910698,-564.84,0.26940666474215463,-550.63,0.22049385390860393,-555.55,0.23409211179555495,-561.25,0.20248306323080734,-554.66,0.20922769480357928,-558.84,0.27504120037100294,-561.89,0.2131001281965686,-560.28,0.23920715433689466,-578.2,0.2645865633652099,-563.9,0.26003745469069933,-566.45,0.23319356375178552,-557.45,0.22214047973331305,-556.02,0.16785204194158887,-559.43,0.2064876889382013,-559.87,0.2194157549774201,-560.86,0.20358256511719813,-557.45,0.19669829333735145,-557.74,0.21633283777131662,-573.37,0.20252293404214525,-568.21,0.23436807610385657,-558.87,0.21326955845869588,-560.94,0.1721759327261504,-557.88,0.22009942016261447,-565.54,0.22710572323125283,-573.25,0.27681861263227614,-561.27,0.17273314718837682,-572.44,0.2458682108395377,-569.54,0.23682212573190864,-558.26,0.2037481162594634,-564.07,0.20999142891688227,-556.96,0.21151857395368254,-560.15,0.21100289069603265,-559.79,0.22146234294339628,-560.43,0.2310846631220282,-558.36,0.21193472788486356,-571.11,0.22596391900450638,-558.71,0.2041662352777633,-548.54,0.24070188010677593,-565.35,0.30358956107419693
7,-558.94,0.20758279197287766,-559.4,0.24576441447110525,-550.8,0.21904023950366436,-555.55,0.22927589539961396,-561.41,0.19691972915181105,-554.7,0.20706238497305504,-555.25,0.2771115884856096,-562.02,0.20801923253846283,-560.37,0.23385543127771785,-573.23,0.24678723063653588,-560.1,0.2586882471125326,-566.54,0.22937238868777482,-557.7,0.21720552586405575,-556.1,0.1681318191570233,-559.55,0.20502780543162244,-559.96,0.21817406909593545,-561.07,0.1939597805308136,-557.49,0.1951642183513134,-557.74,0.20640136403171228,-573.49,0.20107617293976987,-562.75,0.23256608769758905,-558.87,0.2109791579521584,-561.02,0.1707380078275593,-557.97,0.21020526386584562,-561.02,0.22220513375968226,-569.25,0.2759259471036463,-561.31,0.17092071864215527,-568.43,0.24485441325021562,-569.5,0.23539103515997561,-558.38,0.2000691801531915,-564.07,0.20803353066788416,-557.01,0.20531829379068678,-560.2,0.2097359012922976,-559.87,0.2235922974626591,-560.47,0.2213203022914083,-558.53,0.20747040093183539,-566.31,0.22354745568238515,-558.8,0.2027933073157459,-548.66,0.2346817423582524,-561.26,0.30170507955822523
8,-558.77,0.20685894369988578,-554.75,0.2436140410916917,-550.67,0.21732618755117067,-555.68,0.2311039731239794,-561.62,0.19240560333728618,-554.58,0.204492576096657,-552.62,0.2710104788604557,-562.27,0.206080378890718,-560.16,0.23196028743345742,-568.23,0.24442128629463233,-557.22,0.2418315677129123,-566.79,0.22756353810579244,-557.87,0.20942139805765037,-555.93,0.1658976346368493,-559.43,0.20161976449387503,-560.08,0.2138350411012923,-561.41,0.1922039031917295,-557.28,0.19370159255338718,-557.61,0.1998761158123849,-573.79,0.19749186945979638,-557.74,0.21773551315556666,-558.7,0.2083137692012798,-561.4,0.16554663156776267,-557.88,0.20906551134892876,-556.41,0.22111206954521673,-565.16,0.2747651383074543,-561.18,0.16524025235594608,-563.76,0.24344424651342186,-570.0,0.23924343699004944,-558.68,0.19875940593828306,-563.91,0.1993425784525975,-557.3,0.21058424394380143,-560.07,0.20823115488489005,-559.58,0.22179008782586074,-560.64,0.21878516293848438,-558.78,0.2025315387304521,-561.18,0.22212529441220308,-558.67,0.19896899527591455,-548.96,0.23177882876467937,-556.59,0.29924197800585406
9,-558.61,0.18950702061297642,-552.55,0.24157078186285624,-550.5,0.21438415869771926,-563.44,0.23147771711521775,-569.3,0.18875017596045932,-554.41,0.2058280079667033,-551.33,0.2832197751908743,-569.86,0.17241391320015664,-559.95,0.2302502812517131,-565.6,0.24182905740237867,-556.18,0.25083724596487544,-574.46,0.2258393340175012,-565.46,0.20968412112513174,-555.77,0.16170222028259193,-559.09,0.19919402196816155,-567.89,0.21893505776892472,-569.0,0.19044132348807458,-557.12,0.19072871371929417,-557.4,0.1957743956287572,-581.34,0.19615153223487686,-555.78,0.21544519895092717,-558.49,0.21262721313486535,-568.87,0.16575314140470826,-557.55,0.19845917053300982,-553.84,0.2203512539058252,-563.66,0.26811585044926467,-560.97,0.1634073272362612,-560.84,0.24193333179636772,-577.51,0.2287335391765289,-566.27,0.19984042359987725,-563.66,0.19840319152182892,-564.89,0.20641004175120603,-559.82,0.2068367060550777,-559.29,0.20936405317175522,-568.32,0.2063364857580754,-566.25,0.2029297025372755,-558.13,0.22071344602262255,-558.46,0.18388231775938335,-556.47,0.22598728804301624,-553.38,0.2931784427233543
10,-560.78,0.1899850786029243,-550.52,0.23498430233722062,-552.67,0.21621272663652719,-568.95,0.23356903369843487,-574.77,0.19129309971356462,-556.5,0.2084531864628844,-551.12,0.28386921731260817,-575.21,0.17066764542092533,-562.22,0.22918788867521744,-563.39,0.24901594367918845,-556.59,0.2500591047858457,-579.88,0.22408022081430268,-571.12,0.20774962496776844,-558.02,0.15830460331617707,-561.39,0.20002025711630037,-573.23,0.21518716936037113,-574.46,0.19921769397546918,-559.41,0.19311350570931643,-559.74,0.19597252147370928,-586.81,0.19481734736163597,-554.9,0.221492663136306,-560.87,0.21546468484234332,-574.42,0.16358904207540909,-559.8,0.1928306097907329,-551.51,0.22007053260053244,-561.87,0.26759079202951286,-563.1,0.16042394358958045,-557.09,0.2468980740769835,-583.02,0.2194931556985232,-571.69,0.19144925663537377,-565.95,0.20884436573190826,-570.31,0.21046371719677082,-562.16,0.20100176930504293,-561.58,0.20758153985678324,-573.83,0.19834156452145768,-571.76,0.19622618890603116,-555.38,0.22302474967303723,-560.59,0.18465510568898522,-561.98,0.22592638724609776,-549.33,0.2855913710562997
